file,duration,guessed_category,expected_text,parakeet,nemotron,whisper
001.wav,1.85,medicare,I have medicare,I have medicine.,I have medical.,I have Medicare.
002.wav,2.37,,Yes I have medicare,"Yes, I have medicine.","Yes, I have medicine.","Yes, I have medication."
003.wav,2.68,medicare,no I don’t have medicare,"No, I don't have Medicare.","No, I don't have Medicare.","No, I don't have Medicare."
004.wav,2.58,part_a,I have medicare part a,I have Medicare Park A.,I have Medicare Part A.,I have Medicare Part A.
005.wav,2.89,part_a,yes I have medicare part a,"Yes, I have medicare part in","Yes, I have my detail part in.","Yes, I have Medicare Part A."
006.wav,2.99,part_a,no I don’t have medicare part a,"No, I don't have medical part A.","No, I don't have Medicare part A.","No, I don't have Medicare Part A."
007.wav,2.37,medicaid,I have medicare part b,I have Medicare Pard B.,I have Medicaid Part B.,I have medicaid part B
008.wav,2.79,part_b,yes I have medicare part b,"Yes, I have Medicare part B.","Yes, I have Medicare Part B.","Yes, I have Medicare Part B."
009.wav,2.58,,no I don’t have part b,"No, I don't have party.","No, I don't have part B.","No, I don't have BOD-V."
010.wav,3.2,part_both,I have medicare part a and part b,I have Medicare part A and part B,I have Medicare part A and part B.,I have Medicare Part A and Part B.
011.wav,3.2,,I have both part a part b,"I have both part A, part B","I have bought part A, part B.",I have both part A and part B.
012.wav,2.47,,I have only part a,I have only part A,I have only part A.,I have only part A.
013.wav,2.37,age,I am sixty five years old,I am sixty-five years old.,I am sixty five years old.,I am 65 years old.
014.wav,1.96,zip,I am am part two,I am seventy two.,I am seventy two.,I am 72.
015.wav,1.85,zip,I am i part sixteen,I am sixteen.,I am sixty,I am 16-0.
016.wav,3.93,zip,my zip code is 9021,My zip code is 9021,My zip code is nine zero two one.,My zip code is 9021.
017.wav,3.72,zip,my zip code is 33101,My zip code is 33101.,My zip code is three three one zero one.,My zip code is 33101
018.wav,3.93,zip,my zip code is 1001,My zip code is 1001,Murget code is one zero zero one.,my z code is 1 0 0 1
019.wav,4.24,zip,my zip code is 5001,My zip code is five zero zero one,My zip code is five zero zero one.,My zip code is 5001
020.wav,3.82,zip,my zip code is 60601,My zip code is six zero six zero one,My zip code is six zero six zero one.,My zip code is 60601.
021.wav,2.37,,I have have part humana,I have to mano,I have umanna.,I have Pumerna.
022.wav,1.85,,I have aetna,I have a demon.,I have a demo.,I have a demo.
023.wav,2.79,insurance,I have united healthcare.,Appai has United Healthcare.,I have United Healthcare.,I have United Southgate.
024.wav,1.96,insurance,I have blue cross,I have blue cross.,I have blue cross.,I have blue cross.
025.wav,4.03,,I like to walk my dog in the park,I like to walk my dog in park.,I like to walk my dog in park.,I like to walk my dog in park.
026.wav,2.47,,The weather is nice today,The weather with my students,The weather is nice today.,The weather is nice today.
027.wav,3.2,,I am calling to ask about my bill,I am calling to ask about my bill,I am calling to ask about my bill.,I am calling to ask about my billing.
028.wav,1.85,,Hello Talkflow,"Hello,",Hello upload.,"Hello, Pablo?"
029.wav,1.85,,Hello talkflow,"Hello, talk flow.",Hello talk flow.,"Hello, talk to me."
030.wav,1.85,,Hello Talkflow,"Hello, hello.",Hello upload.,"Hello, hello."
031.wav,1.96,,Hello Talkflow,Hello outflow.,Hello hello.,"Hello, public."
032.wav,1.96,,Hello Talkflow,"Hello, dog flow.",Hello.,"Hello, Pablo."
033.wav,1.96,,Hello Talkflow,,Hello top low.,Hello.  Hello.
034.wav,2.06,,Hello Talkflow,"Hello, no.",Hello upload.,"Hello, workflow."
035.wav,1.96,,Hello Talkflow,"Hello, flow.","Hello, upload.","Hello, backflow."
036.wav,1.96,,Hello Talkflow,"Hello, folks.","Hello, Bubblo.","Hello, first floor."
037.wav,1.85,,Hello Talkflow,Hello talk.,Handle.,Hello and hello.
